Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility,pred_profitability,pred_volatility
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1132.09884222,163388.11,29.90369878,78,68.0,3018.5338165142857,3130.714327427077,168188.84857142856,188973.0233812228,96.0,107.7203168704338,5865.19567448,1,3244.9520154689308,1,3517.724342314603
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,5865.19567448,1443682.0,487.25693852,517,60.0,3629.928086755714,3220.8002702042622,290290.8085714286,509857.8315524153,121.42857142857144,174.77972531432923,-12373.5563,0,9464.468641809051,0,7938.742641175757
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12373.5563,75901.55,26.565471,124,47.0,1262.7199295057144,6816.715478925687,282632.47142857144,513067.85716296855,131.42857142857142,172.2632260455465,206.031497,1,9335.6328290829,1,7558.978951472809
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,206.031497,427297.12,149.553903,159,46.0,1292.3043263514285,6810.763361751756,334123.99000000005,505839.35317353,147.85714285714286,167.9656994462744,1095.65319927,1,7532.784572020345,1,6665.447435501852
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1095.65319927,262595.6,34.19572673,160,49.0,466.9074462471429,6356.620145577086,361101.1128571428,494548.7903430215,162.71428571428572,163.01299977375453,-6849.788332,0,4353.2758040983645,0,4827.648750637394
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6849.788332,82910.81,29.018782,1,25.0,-511.4668647185714,6940.871059013984,362411.87428571424,493671.59245227306,156.28571428571428,169.15447997389276,-1.35322108,0,4305.704117439275,0,5268.06261612418
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,-1.35322108,76066.87,1.35322108,52,16.0,-1560.8169485871429,6053.876495051521,361691.72285714286,494153.7832915823,155.85714285714286,169.45739737116676,2427.39588428,1,4810.856345601124,0,6436.138317083857
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2427.39588428,219900.91,53.50649472,110,33.0,-1375.7745140071431,6168.615254249048,369764.98,490824.44903457,160.42857142857142,167.42645862473185,-3190.03284114,0,2817.268340708389,0,3509.289612966879
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3190.03284114,114173.17,20.67737314,65,15.0,-2669.3785876671427,5282.942495128504,179835.14714285714,132267.31534405058,95.85714285714286,59.11409468541466,-1.26292469,0,2817.2724006154704,0,5490.453538781368
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,-1.26292469,55481.42,1.26292469,37,34.0,-901.90810548,3123.486332654418,176917.9857142857,135135.69986844037,83.42857142857143,61.315732464181046,2078.866537,1,2653.8177786731894,1,3719.7749294220826
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2078.866537,57580.5,20.153151,47,28.0,-634.3602426228572,3308.912598718445,124101.32571428572,83261.10723666589,67.42857142857143,52.25213597821327,634.42590683,1,1065.9461839133,0,4174.292299498739
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,634.42590683,173973.68,22.11483517,65,27.0,-700.2498558285714,3273.1202547355474,111441.05142857142,62953.79491711885,53.85714285714285,32.987010430513855,-1107.0575359600002,0,1595.2682906157047,0,5190.866374403456
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1107.0575359600002,176292.61,41.25995296,53,20.0,120.14025789142856,1911.251189650167,124781.30857142856,65733.16579868946,61.285714285714285,23.62706277212784,1570.792203,1,1358.9472424492817,1,1660.4131480154524
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1570.792203,115769.39,20.961068,53,34.0,344.73246133142857,1985.5236695948136,130453.09714285714,62460.69212889501,61.42857142857143,23.564501146548555,-2335.64550596,0,1997.5219313965647,1,2032.676635250897
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2335.64550596,115001.41,20.26831496,27,45.0,-335.7020229885714,1968.9179328258049,115467.45428571428,48431.88573495951,49.57142857142857,13.986387940387596,-1.54451693,0,1965.558689101556,0,2276.532524247781
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,-1.54451693,61324.83,1.54451693,42,44.0,119.79630904142856,1515.0320493447066,107917.69142857144,52606.46584689494,46.285714285714285,12.365466505746287,-5038.173666,0,2520.5594308956383,0,2169.147744301134
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5038.173666,56306.5,19.707219,97,26.0,-599.7623682885715,2474.4554538241564,108035.55999999998,52470.14510136225,54.85714285714285,21.94256572227057,695.21631698,1,3128.494567196498,1,3699.8529394804855
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,695.21631698,113285.54,20.92763202,155,34.0,-797.4266854342857,2271.783347391221,115993.42285714284,47534.64158445083,70.28571428571429,43.184543090146704,-0.456405,0,3128.74619282815,0,3398.836191058119
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-0.456405,54768.6,0.456405,1,25.0,-888.124158552857,2217.1067868363666,98964.12571428572,44560.90007067446,61.142857142857146,50.62419899425074,-0.00035346,0,401.5152473127673,0,3122.723294308869
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,-0.00035346,16.37,0.00035346,1,38.0,-729.9731324814285,2238.270346551583,73781.80571428571,43370.42403440193,53.71428571428572,55.58991001286176,-120.023502,0,69.16412226667781,0,843.6441345902902
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-120.023502,68679.46,24.037758,88,29.0,-971.5182331957142,2030.157384643319,67054.67285714285,39226.39113283626,58.71428571428572,57.06929789216559,-165.390321,0,85.45714892522336,0,370.1944917283891
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-165.390321,91365.76,31.977951,125,30.0,-661.4817782014285,1951.297637004434,63678.15142857143,35224.498209238,72.71428571428571,59.940843853792536,822.60434833,1,557.7841397154278,1,828.9094937438963
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,822.60434833,528313.42,129.33009467,689,33.0,-543.7462260214285,2021.3583563820496,130390.80714285714,178965.05119533045,165.14285714285714,238.26485862825604,320.48232851,1,494.019605035152,1,1346.453502642263
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,320.48232851,226906.97,51.02067149,411,32.0,221.77605890857157,400.0375044203669,154762.30285714287,178810.9028184303,210.0,252.43414982921783,-2012.46525636,0,1512.855502021263,0,1927.4081183644241
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-2012.46525636,581052.14,119.87578636,603,37.0,-165.03559442571415,883.223812750872,221586.1028571429,238252.2456940504,274.0,290.14077043164184,3404.55218,1,2717.1740586023266,1,2143.487349804624
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3404.55218,86106.24,30.137128,97,39.0,321.3942034314287,1619.6233488322334,226062.9085714286,234865.6413512564,287.7142857142857,277.0599900657584,2456.180088,1,2892.872815051475,1,2410.7228638358897
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2456.180088,1472966.88,197.963062,568,72.0,672.2771236400001,1794.958834179322,436484.41,504100.3926871546,368.7142857142857,261.7255014232242,1679.147861,1,864.118893315124,1,1148.4907051678501
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1679.147861,1142252.43,188.105048,680,63.0,929.3016040685716,1791.4091573384176,589851.9771428572,535860.6749418869,453.2857142857143,251.3408802706757,1772.35658672,1,424.28008226677497,1,1749.627127597658
