Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,374916.070873,5616220.88,704.19937,531,72.0,69267.84275814286,163331.4597514187,5054853.840000001,6819831.8205860155,278.85714285714283,332.18891641726424,43700.804223,1,177502.56647586977
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,43700.804223,5582863.31,700.101577,210,54.0,75566.66072614284,161031.36274585352,5692845.917142856,6595236.418783128,305.57142857142856,315.2722934982061,30897.0887,1,195028.43728055464
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,0.0,141,46.0,105085.134833,121333.8745584704,5724332.912857143,6570760.9348375,321.0,302.0767010766195,55086.0,1,12101.385898275168
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,0.0,48,43.0,102866.90231042857,122207.90991904387,5185970.967142857,6762330.759463426,261.42857142857144,309.96067338876884,0.0,0,27610.99091550011
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,0.0,6,47.0,97124.812524,126511.9388317954,5232852.39857143,6725299.534727665,255.0,315.47001970604646,9590.895707,1,29428.606239206383
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,9590.895707,1603504.46,561.226533,59,49.0,87549.64383871427,130787.01284345055,5196428.75,6747275.327901455,262.0,309.6169676659641,114889.506777,1,63743.47226866457
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,114889.506777,2898197.14,555.888761,219,25.0,89868.62375428571,131160.15354915042,2782664.9614285715,2022682.4730851068,173.42857142857142,177.5676933292927,115149.726025,1,60869.43932909809
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115149.726025,1372739.97,137.273975,55,16.0,52759.14591885714,46485.13898874788,2176453.402857143,1629614.9076350613,105.42857142857143,84.63816543155396,9475.503421,1,60936.06094445172
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9475.503421,134360.89,6.71802,45,20.0,47869.817232857145,49310.732924696444,1398095.9142857143,842565.44736875,81.85714285714286,72.81123670475765,533706.368278,1,277240.780960577
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533706.368278,5365898.24,268.294625,641,33.0,119699.71431542859,188953.9768933009,1959980.1014285716,1722002.688507229,153.28571428571428,225.55022669442118,40160.180002,1,294207.2367700948
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40160.180002,398200.0,39.819998,5,45.0,117567.45431571429,189886.5503465078,1797214.3871428573,1819662.4757655603,147.14285714285714,229.44747298051223,307789.17934000003,1,247066.69056015223
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,-1.31668822,48513.58,1.31668822,34,72.0,3893.3152392633333,6744.560121864512,61453.64666666667,68841.86333843479,30.0,27.2213151776324,3509.828217,1,2026.7804679659491
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3509.828217,52028.630000000005,5.2028479999999995,26,75.0,3797.4434836975,5510.247399076058,59097.3925,56406.345683769396,29.0,22.315913604421397,-1.4383267,0,2027.1955711094754
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,-1.4383267,52066.88,1.4383267,46,78.0,3037.6671216180002,5065.414139154088,57691.29,48950.40854017665,32.4,20.767763480933617,2498.682783,1,1807.4850572353082
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2498.682783,54584.72,19.104602,64,78.0,2947.8363985150004,4535.984311457984,57173.52833333333,43800.94131249894,37.666666666666664,22.615628814310398,1592.3513008300001,1,1265.7150611125085
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1592.3513008300001,112897.91,20.81460217,59,81.0,2754.195670274286,4172.342090033202,65134.15428571428,45192.584296838584,40.714285714285715,22.16389169884421,0.0,0,1264.9397265540683
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.11,0.0,1,75.0,1085.443897987143,1463.476286157606,45727.41285714286,38427.33729746039,33.0,25.508168626278653,1125.90925,1,818.6190089894335
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1125.90925,341740.77999999997,119.60926,34,74.0,1246.2880765585717,1384.0116859723241,94547.5157142857,113804.706359691,37.714285714285715,21.312862201921522,-61.51029,0,668.5083294152314
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,-61.51029,36997.54,61.51029,13,61.0,1237.6889905900002,1393.2116009402125,92902.36714285715,114661.09337834573,34.714285714285715,23.307468657880786,4478.710747,1,2354.6001113804373
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4478.710747,41490.68,14.521732,17,75.0,1376.1007805900003,1675.9938338202617,91396.94571428571,115354.26096696989,33.42857142857143,24.102953780654786,957.886451,1,2382.190186351021
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,957.886451,84021.26999999999,89.144541,39,77.0,1513.1471774042857,1581.1150714619027,95961.85857142857,114164.58196890856,32.42857142857143,23.635123177572982,4717.09261983,1,2104.941038777071
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4717.09261983,272092.55,124.96169717000001,124,77.0,1830.0628683800003,1982.8635142583214,127034.40571428569,129584.42629031838,41.0,41.28357219685977,1585.43578279,1,2013.8157698168827
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1585.43578279,588968.28,108.05738221,339,75.0,1829.0749372314287,1983.0034075724066,195044.45857142858,216624.9577403522,81.0,120.7656132072923,4196.90080075,1,1678.1747829932156
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4196.90080075,129509.91,24.25559825,54,75.0,2428.632194481429,1972.249855180371,213545.85857142854,202243.50027839554,88.57142857142857,116.50015328009535,-1.05928092,0,2119.7320968501267
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,-1.05928092,66856.49,1.05928092,44,71.0,2267.6366900642856,2135.551984695302,174276.67428571428,199876.6084195002,90.0,115.77852420318142,6873.43136,1,3465.191342816694
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6873.43136,73755.74,25.814472,56,72.0,3258.3426400642857,2459.045363798863,179527.8457142857,196116.3878370551,96.14285714285714,112.09434801604787,-1.16815524,0,3969.0204517590214
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,-1.16815524,73735.48,1.16815524,46,72.0,2618.3599397442854,2663.0024383091,184134.2457142857,192682.4064567552,100.28571428571429,109.1798428980281,7344.097366,1,4111.66167872267
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7344.097366,81107.93000000001,28.387735,55,70.0,3530.675784744286,3063.1865904225233,183718.05428571432,192937.66690477668,102.57142857142857,107.84225693554629,1132.09884222,1,3954.452033773538
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1132.09884222,163388.11,29.90369878,78,68.0,3018.5338165142857,3130.7143274270766,168188.84857142856,188973.02338122277,96.0,107.7203168704338,5865.19567448,1,3244.9520154689308
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,5865.19567448,1443682.0,487.25693852,517,60.0,3629.928086755714,3220.8002702042622,290290.8085714286,509857.8315524153,121.42857142857143,174.77972531432923,-12373.5563,0,9464.468641809053
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12373.5563,75901.55,26.565471000000002,124,47.0,1262.7199295057144,6816.715478925687,282632.47142857144,513067.85716296855,131.42857142857142,172.2632260455465,206.031497,1,9335.6328290829
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,206.031497,427297.12,149.553903,159,46.0,1292.3043263514285,6810.763361751756,334123.99000000005,505839.35317352996,147.85714285714286,167.9656994462744,1095.65319927,1,7532.784572020345
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1095.65319927,262595.6,34.19572673,160,49.0,466.9074462471429,6356.620145577086,361101.1128571428,494548.7903430215,162.71428571428572,163.01299977375453,-6849.788332,0,4353.2758040983645
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6849.788332,82910.81,29.018782,1,25.0,-511.4668647185714,6940.8710590139835,362411.87428571424,493671.59245227306,156.28571428571428,169.15447997389276,-1.35322108,0,4305.704117439275
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,-1.35322108,76066.87,1.35322108,52,16.0,-1560.8169485871429,6053.876495051521,361691.72285714286,494153.78329158225,155.85714285714286,169.45739737116676,2427.39588428,1,4810.856345601124
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2427.39588428,219900.91,53.50649472,110,33.0,-1375.7745140071431,6168.615254249048,369764.98,490824.44903457,160.42857142857142,167.42645862473185,-3190.0328411399996,0,2817.268340708389
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3190.0328411399996,114173.17,20.67737314,65,15.0,-2669.3785876671427,5282.942495128504,179835.14714285714,132267.31534405058,95.85714285714286,59.11409468541466,-1.26292469,0,2817.2724006154704
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,-1.26292469,55481.42,1.26292469,37,34.0,-901.9081054799999,3123.486332654418,176917.9857142857,135135.69986844037,83.42857142857143,61.315732464181046,2078.866537,1,2653.8177786731894
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2078.866537,57580.5,20.153151,47,28.0,-634.3602426228572,3308.912598718445,124101.32571428572,83261.10723666589,67.42857142857143,52.25213597821327,634.42590683,1,1065.9461839133
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,634.42590683,173973.68,22.11483517,65,27.0,-700.2498558285714,3273.1202547355474,111441.05142857142,62953.79491711885,53.857142857142854,32.987010430513855,-1107.0575359600002,0,1595.2682906157047
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1107.0575359600002,176292.61,41.25995296,53,20.0,120.14025789142855,1911.251189650167,124781.30857142856,65733.16579868946,61.285714285714285,23.627062772127836,1570.792203,1,1358.9472424492815
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1570.792203,115769.39,20.961068,53,34.0,344.73246133142857,1985.5236695948136,130453.09714285714,62460.69212889501,61.42857142857143,23.564501146548555,-2335.64550596,0,1997.5219313965647
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2335.64550596,115001.41,20.268314959999998,27,45.0,-335.7020229885714,1968.9179328258047,115467.45428571428,48431.885734959505,49.57142857142857,13.986387940387596,-1.54451693,0,1965.5586891015562
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,-1.54451693,61324.83,1.54451693,42,44.0,119.79630904142857,1515.0320493447066,107917.69142857144,52606.46584689494,46.285714285714285,12.365466505746287,-5038.173666,0,2520.5594308956383
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5038.173666,56306.5,19.707219000000002,97,26.0,-599.7623682885715,2474.4554538241564,108035.55999999998,52470.14510136225,54.857142857142854,21.94256572227057,695.21631698,1,3128.494567196498
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,695.21631698,113285.54,20.92763202,155,34.0,-797.4266854342857,2271.783347391221,115993.42285714285,47534.64158445083,70.28571428571429,43.184543090146704,-0.456405,0,3128.74619282815
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-0.456405,54768.6,0.456405,1,25.0,-888.124158552857,2217.1067868363666,98964.12571428572,44560.90007067446,61.142857142857146,50.62419899425074,-0.00035346,0,401.5152473127673
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,-0.00035346,16.37,0.00035346,1,38.0,-729.9731324814285,2238.270346551583,73781.80571428571,43370.42403440193,53.714285714285715,55.58991001286176,-120.023502,0,69.16412226667781
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-120.023502,68679.46,24.037758,88,29.0,-971.5182331957142,2030.157384643319,67054.67285714285,39226.39113283626,58.714285714285715,57.06929789216559,-165.390321,0,85.45714892522336
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-165.390321,91365.76,31.977951,125,30.0,-661.4817782014285,1951.297637004434,63678.15142857143,35224.498209238,72.71428571428571,59.940843853792536,822.60434833,1,557.7841397154278
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,822.60434833,528313.42,129.33009467,689,33.0,-543.7462260214285,2021.3583563820496,130390.80714285714,178965.05119533045,165.14285714285714,238.26485862825604,320.48232851,1,494.01960503515204
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,320.48232851,226906.97,51.02067149,411,32.0,221.77605890857154,400.0375044203669,154762.30285714287,178810.9028184303,210.0,252.43414982921783,-2012.46525636,0,1512.855502021263
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-2012.46525636,581052.14,119.87578636,603,37.0,-165.03559442571415,883.223812750872,221586.10285714286,238252.24569405036,274.0,290.14077043164184,3404.55218,1,2717.1740586023266
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3404.55218,86106.24,30.137128,97,39.0,321.3942034314287,1619.6233488322334,226062.9085714286,234865.6413512564,287.7142857142857,277.05999006575837,2456.180088,1,2892.872815051475
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2456.180088,1472966.88,197.963062,568,72.0,672.2771236400001,1794.9588341793221,436484.41000000003,504100.39268715464,368.7142857142857,261.7255014232242,1679.147861,1,864.118893315124
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1679.147861,1142252.43,188.105048,680,63.0,929.3016040685716,1791.4091573384176,589851.9771428572,535860.6749418869,453.2857142857143,251.34088027067574,1772.35658672,1,424.28008226677497
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1772.35658672,1248337.1199999999,197.03662328000001,330,60.0,1206.1225908857143,1743.122815320337,755133.5999999999,534909.3456523278,482.57142857142856,216.20118496657793,-4665.787157,0,3690.451262244092
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4665.787157,96183.93,16.916102,338,65.0,422.0666615528574,2836.0740128573857,693400.8157142857,587772.4567304114,432.42857142857144,200.4768125767976,-0.267131,0,3325.631940509743
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,-0.267131,96167.16,0.267131,67,61.0,376.245310194286,2840.5763534994094,674723.7,606834.471418982,383.2857142857143,244.03532140909056,5149.368721,1,4909.567384720179
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5149.368721,101346.88,30.404024,83,56.0,1399.3644498171432,3113.481535391294,606194.3771428571,645058.2911819934,309.0,245.14893432360668,1212.8230773,1,2692.171640968515
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,174.68774900000003,158123.95,34.129711,4,84.0,582.4334106666666,872.1842123117735,63353.100000000006,83324.75949768773,3.3333333333333335,2.0816659994661326,15525.749777,1,8485.46212892992
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,15525.749777,4886973.24,1181.135135,797,18.0,4318.262502250001,7505.518827695083,1269258.135,2412769.4649061766,201.75,396.83697324384144,10800.981383,1,7862.322156551817
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,10800.981383,7423746.26,2463.061921,339,39.0,5614.8062784,7117.21423536137,2500155.7600000002,3455667.4006971405,229.2,349.10915198544996,5222.465929,1,5157.533795331443
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5222.465929,2716221.67,720.081313,313,32.0,5549.416220166667,6367.844685285515,2536166.7449999996,3092101.307143213,243.16666666666666,314.12126108664893,7661.64279,1,2796.5712706590593
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,7661.64279,2657908.25,615.664567,863,37.0,5851.162873,5867.585725327922,2553558.3885714286,2823064.415883347,331.7142857142857,370.28579695766274,2519.9781820000003,1,2571.955764364369
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2519.9781820000003,693974.34,118.03440499999999,353,39.0,6212.759460714286,5513.402247497428,2648361.722857143,2733944.6403801087,381.42857142857144,341.34042496353356,-20415.196179,0,14948.622146103122
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-20415.196179,4817869.23,1377.855618,594,47.0,3070.0442330000005,11553.281390449785,3336402.4199999995,2557155.064245733,466.14285714285717,302.57364314131775,-110663.971266,0,59835.14858943808
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-110663.971266,9394438.39,2487.052566,469,72.0,-12764.049912,44670.80197759633,4655875.911428572,2990137.283761816,532.5714285714286,225.40619419384277,7883.874984,1,61912.93710244261
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,7883.874984,1092249.57,273.237342,70,63.0,-13855.746310999999,43951.800730655945,4113772.5300000003,3271962.2055532075,428.7142857142857,249.46390138703055,0.0,0,66285.06854443044
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,109.94447899999999,108044.6,37.465806,162,83.0,136.60465,23.11474286553911,58794.61000000001,42655.75338571692,116.66666666666667,39.272551907577046,166.548797,1,29.249858058479614
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,166.548797,190840.29,66.816663,213,90.0,144.09068675,24.090604186059686,91806.03,74645.99296859589,140.75,57.864064841661445,-614.557523,0,435.5521941287472
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-614.557523,874868.16,298.312315,407,83.0,-7.6389551999999865,339.918650766493,248418.456,356112.73227410467,194.0,129.18591254467339,668.352352,1,646.5023380116393
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,668.352352,325137.18,111.648962,446,82.0,105.02626266666668,410.6049917046689,261204.91,320053.0938852915,236.0,154.71005138645646,79.017439,1,642.1603661296418
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,79.017439,182730.29,62.202151,433,94.0,101.31071642857144,374.9582461167172,249994.25,293668.8691447198,264.14285714285717,159.6563273320004,655.855175,1,336.7030325542307
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,655.855175,52019.64,17.776025,156,93.0,173.74271342857145,430.5226899195272,252460.69,291625.2352471896,273.14285714285717,149.87709250296675,103.851283,1,326.10499082978606
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,103.851283,13851.0,4.469844,69,80.0,167.00171457142855,431.3061465434816,249641.5942857143,294177.92459785385,269.42857142857144,155.25340269256273,439.829749,1,278.16566139542994
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,439.829749,72982.65,24.451253,225,82.0,214.12818171428572,441.9244341850501,244632.7442857143,297272.87175291224,278.42857142857144,149.7151263153428,-583.814032,0,521.793654211084
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-583.814032,219729.39,75.523391,217,79.0,106.93349185714285,536.3140095474449,248759.75857142857,296601.3836980362,279.0,149.43114356340402,130.903158,1,525.056011407093
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,130.903158,187730.65,62.761001,169,75.0,213.42787485714285,433.2886232298853,150597.25714285715,109617.49390199246,245.0,142.36221408786813,98.24686100000001,1,403.54556892111634
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,98.24686100000001,195837.9,67.285783,207,77.0,131.98423328571428,384.3421012815811,132125.93142857144,82955.98410780632,210.85714285714286,111.41877246291514,9522.52074625,1,5431.7045455649495
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9522.52074625,80123.45,29.21348375,206,78.0,1481.0561343214285,3566.6445170443462,117467.81142857144,81577.78025758614,178.42857142857142,54.46667832371505,5572.75557988,1,4732.649519503991
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5572.75557988,48590.47,17.77266812,154,84.0,2183.470477875714,3849.9581171981317,116977.93000000001,82045.2624295029,178.14285714285714,54.60899978156404,4442.14948057,1,2667.367216889274
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4442.14948057,47695.56,16.10546943,193,81.0,2803.2273632428573,3808.3502484206856,121812.86714285715,75707.54839525616,195.85714285714286,25.835560579871153,1277.53656976,1,2226.430303271679
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1277.53656976,19651.71,6.30947724,140,80.0,2922.8997662085712,3734.1447796865923,114194.16142857143,83701.84833616586,183.71428571428572,29.56188021599379,1187.37589,1,1853.6655105183725
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1187.37589,7205.03,2.982829,78,76.0,3175.9268979228573,3510.219978164296,83833.53857142858,77344.0520462992,163.85714285714286,45.736304221149396,9058.94191177,1,4518.848483111608
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9058.94191177,18567.68,7.22773423,112,78.0,4451.361005604286,3827.1058844732743,59667.39999999999,64896.8682851673,155.71428571428572,49.58062217477813,14676.46131708,1,6775.857898490055
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14676.46131708,25406.1,9.32634692,98,84.0,6533.963070758572,4884.036766124111,35320.0,25004.93777721411,140.14285714285714,47.87632877678555,386.26874699999996,1,7199.321585884855
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,386.26874699999996,8956.57,2.907485,69,72.0,5228.784213722857,5164.963962019735,25153.302857142855,16909.714532157886,120.57142857142857,44.339061570497755,4004.34379924,1,7429.604779620947
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4004.34379924,13732.33,3.66824976,86,75.0,5004.725387917143,5181.547997457074,20173.56857142857,13682.008964217495,110.85714285714286,43.22972962915145,551.19631416,1,2042.9511227537607
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,551.19631416,7922.52,2.81362784,102,79.0,4448.874935572857,5453.519954753715,14491.705714285714,6950.1491110508705,97.85714285714286,23.66733734797539,761.63869759,1,1935.7879501090742
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,761.63869759,18772.08,6.79214041,213,78.0,4375.175239548572,5506.747102558834,14366.044285714286,6848.513953526063,108.28571428571429,48.44486311163211,974.74134946,1,211.77391006487545
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,974.74134946,18780.69,5.81611154,157,78.0,4344.798876614286,5527.808619352782,16019.709999999997,6197.843164495175,119.57142857142857,49.405995394814084,1577.880089,1,423.3672732625992
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1577.880089,11570.32,4.121023,93,74.0,3276.0757590757144,5176.509765288476,15020.087142857143,6282.114275274145,116.85714285714286,50.40313671267097,5799.87045758,1,2629.0318218418693
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5799.87045758,22071.36,6.99886242,147,83.0,2007.9913505757143,2078.541252907986,14543.695714285715,5432.19266487986,123.85714285714286,50.74914965273999,1516.03500088,1,2455.615120066217
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1516.03500088,13731.75,6.2494111199999995,155,76.0,2169.3865297014286,1972.8025944657256,15225.864285714286,4886.002238828933,136.14285714285714,45.381452053412715,13271.872871,1,5949.534860177192
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13271.872871,28880.56,9.858389,154,83.0,3493.319254238571,4672.263017431894,17389.897142857142,7008.0538216947425,145.85714285714286,39.79291633540064,5383.4322746,1,5991.438068113753
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5383.4322746,17125.99,6.5299154,137,80.0,4183.638677158572,4519.603664776181,18704.678571428572,5671.783608166041,150.85714285714286,35.310190084585045,13173.31192941,1,4526.209494683188
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13173.31192941,30184.81,16.93692959,230,83.0,5956.734853132856,5317.548851009658,20335.068571428572,7143.720431110198,153.28571428571428,40.499853027364175,4448.23290767,1,4790.334484284238
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4448.23290767,20394.48,6.70647033,181,87.0,6452.947932877143,4922.561690869676,20565.610000000004,7111.16306836983,156.71428571428572,41.85974313392401,3617.3913188,1,5293.595507744624
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3617.3913188,23859.85,7.0983362,191,81.0,6744.306679991429,4638.05898688769,22321.257142857143,5940.995116864216,170.71428571428572,32.294036011387064,1511.48587742,1,1513.8041811669968
